number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_sharpe,user_attrs_std_accuracy,user_attrs_std_combined,user_attrs_std_f1_weighted,user_attrs_std_sharpe,state,mean_f1_weighted,std_f1_weighted,mean_accuracy,std_accuracy,mean_sharpe,std_sharpe,mean_combined,std_combined,trial_number
20,0.535781726029478,2025-09-10 15:07:36.393030,2025-09-10 15:07:45.092619,0 days 00:00:08.699589,0.6013858168569528,0.7615621319152801,0.6067125188458703,0.8859407490258198,0.030320640271131304,5,2,454,4.39194711316223e-06,0.026951116172199273,0.6331332842710213,0.4738095238095238,0.535781726029478,0.4563070536685619,2.178538988861701,0.13081162392552384,0.2550060352050972,0.1332909585222305,2.725403954144285,COMPLETE,0.4563070536685619,0.1332909585222305,0.4738095238095238,0.13081162392552384,2.178538988861701,2.725403954144285,0.535781726029478,0.2550060352050972,20
21,0.6391562072763819,2025-09-10 15:07:45.100107,2025-09-10 15:07:49.605944,0 days 00:00:04.505837,0.6709896653875856,0.7300915098140955,0.7724854295893939,0.5008241253005776,0.016799211483196037,4,4,213,7.710003882518091e-08,1.3942026211947297e-06,0.9226084855278912,0.42365591397849467,0.6391562072763819,0.3930714827659211,2.2726080835019333,0.11729194469053156,0.16986557995858315,0.14048982591646952,1.329932366935569,COMPLETE,0.3930714827659211,0.14048982591646952,0.42365591397849467,0.11729194469053156,2.2726080835019333,1.329932366935569,0.6391562072763819,0.16986557995858315,21
22,0.36490869180080227,2025-09-10 15:07:49.612454,2025-09-10 15:07:53.751108,0 days 00:00:04.138654,0.7232744794166903,0.7214130053904437,0.6794963331940155,0.4596218199357033,0.016452448798233668,3,4,259,5.249667258953753e-08,1.8469230175604727e-05,0.9402262849824293,0.35913978494623655,0.36490869180080227,0.30900572832204765,0.07819183959713139,0.1313469152557859,0.32699206639638734,0.15725881251043586,2.261892947839124,COMPLETE,0.30900572832204765,0.15725881251043586,0.35913978494623655,0.1313469152557859,0.07819183959713139,2.261892947839124,0.36490869180080227,0.32699206639638734,22
23,0.5200402905335659,2025-09-10 15:07:53.757092,2025-09-10 15:08:03.162620,0 days 00:00:09.405528,0.6476647017507101,0.6423100084412007,0.7490073725559298,0.5105733085179328,0.023978296021850365,4,5,593,6.374470917311183e-07,0.0005397760132565195,0.8067970323563949,0.454531490015361,0.5200402905335659,0.43830285652942125,1.9855507532283274,0.13719593930010995,0.27510468748254197,0.14087231778529408,2.5676158216417666,COMPLETE,0.43830285652942125,0.14087231778529408,0.454531490015361,0.13719593930010995,1.9855507532283274,2.5676158216417666,0.5200402905335659,0.27510468748254197,23
24,0.5759707471348182,2025-09-10 15:08:03.171109,2025-09-10 15:08:11.744702,0 days 00:00:08.573593,0.7653420809563335,0.7519277058354707,0.7939391742708882,1.1953322145211418,0.03631233225905897,6,2,233,9.509228809969986e-06,1.735339129722704e-06,0.8013640379843417,0.47565284178187406,0.5759707471348182,0.45519849951926017,2.3480588052371765,0.12399013614543773,0.21814123824230594,0.1275968732552961,2.463235210546969,COMPLETE,0.45519849951926017,0.1275968732552961,0.47565284178187406,0.12399013614543773,2.3480588052371765,2.463235210546969,0.5759707471348182,0.21814123824230594,24
25,0.47725981879959334,2025-09-10 15:08:11.753192,2025-09-10 15:08:19.668384,0 days 00:00:07.915192,0.768282915376957,0.7656730691546821,0.7999578320312558,1.2434806775792968,0.036390971032442265,6,2,259,1.4094440750578122e-05,1.219103613476627e-06,0.8374313303412891,0.4653609831029186,0.47725981879959334,0.44544430223666226,1.7456057521455481,0.13056499046894932,0.29689178014803247,0.13392137514042815,2.818000434364058,COMPLETE,0.44544430223666226,0.13392137514042815,0.4653609831029186,0.13056499046894932,1.7456057521455481,2.818000434364058,0.47725981879959334,0.29689178014803247,25
26,0.48352643648264937,2025-09-10 15:08:19.674898,2025-09-10 15:08:24.483240,0 days 00:00:04.808342,0.8392153658370562,0.7212114699497635,0.8766158882819012,1.7745796089778068,0.0836520857471788,7,1,115,1.2344278214665772e-05,1.0138665897907184e-05,0.8980762630174067,0.45844854070660523,0.48352643648264937,0.4470727262792936,1.8316966600148445,0.13427280829600072,0.2866063929602696,0.13640586138648883,2.775757885499616,COMPLETE,0.4470727262792936,0.13640586138648883,0.45844854070660523,0.13427280829600072,1.8316966600148445,2.775757885499616,0.48352643648264937,0.2866063929602696,26
27,0.5246478358708535,2025-09-10 15:08:24.493744,2025-09-10 15:08:35.684500,0 days 00:00:11.190756,0.7203975745812063,0.7863117256288724,0.8087060988749525,2.32581344082568,0.015326597900648524,8,4,225,1.6994573355218235e-06,0.00030621194444941004,0.7949484334248554,0.4623655913978495,0.5246478358708535,0.4355563079194976,1.9483261000241368,0.12089396233456834,0.24684339237245737,0.13215826588529397,2.4116474893803446,COMPLETE,0.4355563079194976,0.13215826588529397,0.4623655913978495,0.12089396233456834,1.9483261000241368,2.4116474893803446,0.5246478358708535,0.24684339237245737,27
28,0.532541031644374,2025-09-10 15:08:35.693984,2025-09-10 15:08:40.735025,0 days 00:00:05.041041,0.8230692864480302,0.7432375495763329,0.8699097609535094,1.5895863867979447,0.03601990894022251,5,2,103,0.0003272871023720843,4.756375331023486e-05,0.9497971800089556,0.45829493087557605,0.532541031644374,0.4436006683981284,1.8280145974870812,0.11116478784916829,0.2738502319148246,0.11492810331271032,2.2276731144254813,COMPLETE,0.4436006683981284,0.11492810331271032,0.45829493087557605,0.11116478784916829,1.8280145974870812,2.2276731144254813,0.532541031644374,0.2738502319148246,28
29,0.5425887985953002,2025-09-10 15:08:40.745527,2025-09-10 15:08:47.440456,0 days 00:00:06.694929,0.9221400206538769,0.6950510469828457,0.642086216112032,1.1008024889950785,0.02946486237633833,3,3,346,4.297406538039923e-08,1.4208444913523028e-06,0.8339653055403254,0.43740399385560674,0.5425887985953002,0.4299815240971356,1.7983317083550698,0.11208390027685747,0.2309123735671467,0.11399041821468632,1.8395664518053718,COMPLETE,0.4299815240971356,0.11399041821468632,0.43740399385560674,0.11208390027685747,1.7983317083550698,1.8395664518053718,0.5425887985953002,0.2309123735671467,29
