number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_metrics,user_attrs_mean_accuracy,user_attrs_mean_combined,user_attrs_mean_f1_weighted,user_attrs_mean_hit_ratio,user_attrs_mean_sharpe,user_attrs_mean_sortino,state
20,0.0680994557607463,2025-09-11 14:23:52.787656,2025-09-11 14:23:53.536414,0 days 00:00:00.748758,0.971241147293149,4.192935333529579,0.019427395353627933,6,4,149,0.0002350391771997346,4.8086226625023625e-05,0.6015456564143142,"{'f1_weighted': [0.3656856657501378, 0.16916805275675886], 'accuracy': [0.3627149877149877, 0.31827956989247314], 'sharpe': [-35.14813379875399, -167.02253577559998], 'sortino': [-39.699785107546745, -218.276371775799], 'hit_ratio': [0.43330308529945555, 0.31318167653474605], 'combined': [0.07254299754299799, 0.06365591397849463]}",0.34049727880373043,0.0680994557607463,0.26742685925344833,0.3732423809171008,-101.08533478717698,-128.98807844167288,COMPLETE
21,0.46840687295958605,2025-09-11 14:23:53.537915,2025-09-11 14:23:54.179411,0 days 00:00:00.641496,0.637701775308609,2.878235689358507,0.04443983958343075,8,4,443,1.3018589039063812e-07,0.030906258376722773,0.7116634278598577,"{'f1_weighted': [0.35934820337565254, 0.18001711402616377], 'accuracy': [0.355958230958231, 0.328110599078341], 'sharpe': [17.499992550658042, -170.86372043239177], 'sortino': [23.994390774993484, -223.3968603074842], 'hit_ratio': [0.5276979893311449, 0.30905145691258523], 'combined': [0.8711916261035039, 0.0656221198156682]}",0.342034415018286,0.46840687295958605,0.26968265870090813,0.4183747231218651,-76.68186394086686,-99.70123476624535,COMPLETE
22,0.4336402144878669,2025-09-11 14:23:54.180422,2025-09-11 14:23:54.921221,0 days 00:00:00.740799,0.6346832400297833,2.8156382728704097,0.04398189955114848,8,4,358,1.2148700456713766e-07,0.0035908446501317034,0.7284219505636675,"{'f1_weighted': [0.3534682317961446, 0.18104394259550097], 'accuracy': [0.3501228501228501, 0.3244239631336406], 'sharpe': [2.3822514022987655, -168.6879892983818], 'sortino': [2.834886347769479, -219.67048502011738], 'hit_ratio': [0.5027472527472527, 0.30916509730069053], 'combined': [0.8023956363490057, 0.06488479262672812]}",0.33727340662824534,0.4336402144878669,0.2672560871958228,0.40595617502397163,-83.15286894804152,-108.41779933617396,COMPLETE
23,0.46660966800484993,2025-09-11 14:23:54.922218,2025-09-11 14:23:55.645095,0 days 00:00:00.722877,0.6994579942738955,2.965232651916209,0.04593308068063707,7,3,200,6.270714962452849e-06,0.02989810505767196,0.7108183331180387,"{'f1_weighted': [0.3598932950543005, 0.18104394259550097], 'accuracy': [0.35657248157248156, 0.3244239631336406], 'sharpe': [5.588972326031662, -168.6879892983818], 'sortino': [6.807114792088057, -219.67048502011738], 'hit_ratio': [0.5148259561667383, 0.30916509730069053], 'combined': [0.8683345433829718, 0.06488479262672812]}",0.34049822235306104,0.46660966800484993,0.27046861882490075,0.4119955267337144,-81.54950848617507,-106.43168511401467,COMPLETE
24,0.06867329557015425,2025-09-11 14:23:55.646093,2025-09-11 14:23:56.371677,0 days 00:00:00.725584,0.7556773225444473,2.972169413856211,0.018880560068721523,4,3,516,7.014542739625707e-08,0.0007497924365631751,0.7699608204160816,"{'f1_weighted': [0.364096702591824, 0.18104394259550097], 'accuracy': [0.36117936117936117, 0.3244239631336406], 'sharpe': [-8.171875817693582, -168.6879892983818], 'sortino': [-9.563428551513715, -219.67048502011738], 'hit_ratio': [0.4761215629522431, 0.30916509730069053], 'combined': [0.07246179851358038, 0.06488479262672812]}",0.3428016621565009,0.06867329557015425,0.2725703225936625,0.3926433301264668,-88.42993255803769,-114.61695678581555,COMPLETE
25,0.46588830972735,2025-09-11 14:23:56.372674,2025-09-11 14:23:57.538676,0 days 00:00:01.166002,0.6328693932848442,4.145942595193253,0.07821935389399118,9,5,597,7.707939170113901e-07,0.00012153044455209325,0.6337502379837634,"{'f1_weighted': [0.3323958726741229, 0.1709469559931459], 'accuracy': [0.33507371007371006, 0.3238095238095238], 'sharpe': [17.192431961679276, -179.7903536784575], 'sortino': [23.739881335154838, -230.07185561510227], 'hit_ratio': [0.5284522003034902, 0.2989335006273526], 'combined': [0.8670147146927952, 0.06476190476190477]}",0.32944161694161694,0.46588830972735,0.2516714143336344,0.41369285046542137,-81.29896085838911,-103.16598713997371,COMPLETE
26,0.06659482743760312,2025-09-11 14:23:57.539677,2025-09-11 14:23:58.232699,0 days 00:00:00.693022,0.6907939095057634,2.143342179077329,0.03736025994993537,6,6,726,3.595377879361852e-05,6.220714077668472e-06,0.6914125468052243,"{'f1_weighted': [0.3335686742601628, 0.18584885226045736], 'accuracy': [0.33845208845208846, 0.32749615975422425], 'sharpe': [-18.844957242639893, -176.33625174683712], 'sortino': [-22.726661991175, -224.48458823009204], 'hit_ratio': [0.4768237082066869, 0.30102367242482403], 'combined': [0.06769042292436138, 0.06549923195084485]}",0.33297412410315635,0.06659482743760312,0.25970876326031006,0.38892369031575547,-97.5906044947385,-123.60562511063353,COMPLETE
27,0.46953243326368127,2025-09-11 14:23:58.233696,2025-09-11 14:23:59.081377,0 days 00:00:00.847681,0.6001959693486938,4.012914011016107,0.018517082551071106,3,4,450,2.6388581523723088e-06,1.660192801440189e-07,0.7477943796768141,"{'f1_weighted': [0.2997780018431386, 0.33768241508078145], 'accuracy': [0.3237100737100737, 0.3717357910906298], 'sharpe': [10.401595584456212, -128.23382164754292], 'sortino': [15.0002301251914, -133.15788627915956], 'hit_ratio': [0.5032567706547824, 0.2922841083290751], 'combined': [0.8647177083092366, 0.07434715821812597]}",0.3477229324003518,0.46953243326368127,0.31873020846196,0.3977704394919287,-58.916113031543354,-59.07882807698408,COMPLETE
28,0.07350670108734625,2025-09-11 14:23:59.082374,2025-09-11 14:23:59.592526,0 days 00:00:00.510152,0.6096414663351699,4.872867761630514,0.01849648463485762,3,5,492,1.895230819898309e-06,2.448355272930385e-07,0.7929321288861393,"{'f1_weighted': [0.3576364114172082, 0.32726765256856927], 'accuracy': [0.3568796068796069, 0.3781874039938556], 'sharpe': [-46.299223719904916, -131.2935355993166], 'sortino': [-54.97405354741948, -144.80827327756595], 'hit_ratio': [0.4244482173174873, 0.30401529636711283], 'combined': [0.07137592137592139, 0.07563748079877113]}",0.36753350543673124,0.07350670108734625,0.34245203199288876,0.3642317568423,-88.79637965961076,-99.89116341249272,COMPLETE
29,0.06526213858061364,2025-09-11 14:23:59.593524,2025-09-11 14:24:00.086644,0 days 00:00:00.493120,0.6632691650332917,4.357657559461835,0.023630005979475045,4,2,417,4.904971297805569e-08,9.518977870708214e-08,0.7412377032806259,"{'f1_weighted': [0.36462902925342655, 0.21258611890567314], 'accuracy': [0.3608722358722359, 0.290937019969278], 'sharpe': [-8.501941483671134, -68.5664178820095], 'sortino': [-9.845067630684639, -104.69417974435837], 'hit_ratio': [0.4881999074502545, 0.4011159330440174], 'combined': [0.07233687316737167, 0.05818740399385561]}",0.3259046279207569,0.06526213858061364,0.28860757407954984,0.4446579202471359,-38.53417968284032,-57.2696236875215,COMPLETE
30,0.4649023579431247,2025-09-11 14:24:00.087640,2025-09-11 14:24:00.512763,0 days 00:00:00.425123,0.6012608728023652,3.852155963021653,0.08213626249163404,3,6,455,3.0599656573956855e-07,1.6205712618363023e-08,0.7487791457406621,"{'f1_weighted': [0.30467934960993065, 0.1742607458707173], 'accuracy': [0.3261670761670762, 0.3228878648233487], 'sharpe': [11.756214165728636, -173.3488312506509], 'sortino': [16.891883737680025, -224.6778729553862], 'hit_ratio': [0.5053614666205465, 0.30615432677288346], 'combined': [0.8652271429215797, 0.06457757296466975]}",0.32452747049521247,0.4649023579431247,0.239470047740324,0.40575789669671497,-80.79630854246113,-103.89299460885309,COMPLETE
31,0.06785405745083173,2025-09-11 14:24:00.513761,2025-09-11 14:24:00.979794,0 days 00:00:00.466033,0.6373398654451251,3.289402338121248,0.02857160560950153,4,4,363,5.203325590629209e-08,4.3049094174530965e-07,0.6938435650431923,"{'f1_weighted': [0.35117970061573917, 0.18001711402616377], 'accuracy': [0.35042997542997545, 0.328110599078341], 'sharpe': [-36.16014554514589, -170.86372043239177], 'sortino': [-42.82728843479564, -223.3968603074842], 'hit_ratio': [0.43214588634435963, 0.30905145691258523], 'combined': [0.07008599508599524, 0.0656221198156682]}",0.3392702872541582,0.06785405745083173,0.26559840732095147,0.37059867162847243,-103.51193298876883,-133.11207437113993,COMPLETE
32,0.07059961711632023,2025-09-11 14:24:00.980791,2025-09-11 14:24:01.489063,0 days 00:00:00.508272,0.6808700323307557,3.86695738153996,0.044697966656608946,3,3,303,3.7308546909641652e-06,0.07477183977703808,0.8164705062081976,"{'f1_weighted': [0.377728126316981, 0.18968370755370878], 'accuracy': [0.3762285012285012, 0.3293394777265745], 'sharpe': [-9.142125686120712, -164.359335004482], 'sortino': [-10.496862321164294, -216.2929042515116], 'hit_ratio': [0.470935960591133, 0.31401115933044016], 'combined': [0.07533133868732557, 0.0658678955453149]}",0.35278398947753786,0.07059961711632023,0.28370591693534486,0.3924735599607866,-86.75073034530136,-113.39488328633794,COMPLETE
33,0.06926761525748655,2025-09-11 14:24:01.490061,2025-09-11 14:24:02.006839,0 days 00:00:00.516778,0.6567220574048803,3.1460321822535304,0.02233335302617771,8,4,462,2.571829641644729e-07,0.009007911975741884,0.6668553804590502,"{'f1_weighted': [0.3670565959991994, 0.18001711402616377], 'accuracy': [0.36455773955773957, 0.328110599078341], 'sharpe': [-13.145893803026661, -170.86372043239177], 'sortino': [-15.404318571257093, -223.3968603074842], 'hit_ratio': [0.4914134742404227, 0.30905145691258523], 'combined': [0.0729131106993049, 0.0656221198156682]}",0.3463341693180403,0.06926761525748655,0.27353685501268155,0.40023246557650394,-92.00480711770922,-119.40058943937063,COMPLETE
34,0.47159209908954375,2025-09-11 14:24:02.008340,2025-09-11 14:24:02.548194,0 days 00:00:00.539854,0.6322253274405579,2.624659026007168,0.01487544531296001,7,1,585,6.297373340539232e-05,0.00010918913030456574,0.6307551607138808,"{'f1_weighted': [0.3572715899899616, 0.3438801142461694], 'accuracy': [0.35902948402948404, 0.35729646697388634], 'sharpe': [9.197915110607296, -86.25111295749926], 'sortino': [10.74228307360481, -99.2971173152341], 'hit_ratio': [0.5074244751664106, 0.35621072982116964], 'combined': [0.8717249047843102, 0.07145929339477727]}",0.3581629755016852,0.47159209908954375,0.3505758521180655,0.43181760249379014,-38.52659892344598,-44.27741712081465,COMPLETE
35,0.28204154243817336,2025-09-11 14:24:02.549193,2025-09-11 14:24:03.099777,0 days 00:00:00.550584,0.6322978544082024,2.2685211435960637,0.014957600516659482,7,1,587,0.00010537871522393115,6.681460090403871e-06,0.638517967735588,"{'f1_weighted': [0.35834338728166976, 0.221815551704045], 'accuracy': [0.3617936117936118, 0.290937019969278], 'sharpe': [0.16807937426596684, -40.86298092082798], 'sortino': [0.18784531948908217, -65.49014526537425], 'hit_ratio': [0.49095890410958903, 0.4240545567265964], 'combined': [0.5058956808824911, 0.05818740399385561]}",0.3263653158814449,0.28204154243817336,0.29007946949285734,0.45750673041809276,-20.347450773281007,-32.651149972942584,COMPLETE
36,0.4684706149002694,2025-09-11 14:24:03.099777,2025-09-11 14:24:03.573750,0 days 00:00:00.473973,0.667269872935256,2.714068154651235,0.014888463560777334,7,10,778,0.008920262934494536,4.186542011627436e-07,0.8421475489395714,"{'f1_weighted': [0.32744734851340057, 0.32285415520823907], 'accuracy': [0.3237100737100737, 0.3794162826420891], 'sharpe': [5.3759856648271676, -125.64328106905715], 'sortino': [7.116171228114004, -129.7864343172684], 'hit_ratio': [0.48927219183845183, 0.30254424778761063], 'combined': [0.8610579732721211, 0.07588325652841782]}",0.3515631781760814,0.4684706149002694,0.3251507518608198,0.39590821981303126,-60.13364770211499,-61.3351315445772,COMPLETE
37,0.0688378736747321,2025-09-11 14:24:03.574747,2025-09-11 14:24:04.074799,0 days 00:00:00.500052,0.721903260993927,2.575093729654659,0.010709637897902054,5,10,763,0.010666473870783986,4.264854620561118e-08,0.9126886635210598,"{'f1_weighted': [0.3301127446924292, 0.31900396955138755], 'accuracy': [0.3277027027027027, 0.36067588325652844], 'sharpe': [-17.093684688496847, -116.10444053769008], 'sortino': [-19.355627681788665, -122.13669496777607], 'hit_ratio': [0.4619336758524054, 0.3225979602791197], 'combined': [0.0655405706981585, 0.07213517665130569]}",0.34418929297961554,0.0688378736747321,0.3245583571219084,0.39226581806576255,-66.59906261309347,-70.74616132478236,COMPLETE
38,0.15373746565136467,2025-09-11 14:24:04.076306,2025-09-11 14:24:04.559444,0 days 00:00:00.483138,0.6740236809615529,1.8835953389604891,0.015530054478202677,7,10,874,0.029691817033715488,7.459028171772129e-07,0.864419376285669,"{'f1_weighted': [0.306061003038845, 0.3121629263361077], 'accuracy': [0.3055896805896806, 0.36682027649769583], 'sharpe': [-1.28770701696743, -126.99362805258524], 'sortino': [-1.7099101562444314, -129.0183961085102], 'hit_ratio': [0.4821570182394925, 0.2977142857142857], 'combined': [0.2341108760031902, 0.07336405529953917]}",0.33620497854368825,0.15373746565136467,0.30911196468747637,0.38993565197688906,-64.14066753477633,-65.36415313237731,COMPLETE
