trial,fold,f1_weighted,accuracy,sharpe,sortino,hit_ratio,combined
16,1,0.30789451102859694,0.36682027649769583,-126.48042639638844,-144.51413016420346,0.3276668083297918,0.07336405529953917
17,0,0.34464518237798997,0.34797297297297297,-28.140633329919762,-34.22721655968522,0.47049312853678255,0.06959459459507518
17,1,0.20870522505868747,0.29493087557603687,-105.0462252112514,-146.06101788218032,0.3673913043478261,0.05898617511520737
18,0,0.3552504938399512,0.35411547911547914,24.532470841808863,31.48298343343341,0.5378961874138724,0.8708230958053632
18,1,0.16916805275675886,0.31827956989247314,-167.02253577559998,-218.276371775799,0.31318167653474605,0.06365591397849463
19,0,0.35272649942834466,0.35411547911547914,2.71900969688568,2.763769273084755,0.5138476755687438,0.8213343656445378
19,1,0.221815551704045,0.290937019969278,-40.86298092082798,-65.49014526537425,0.4240545567265964,0.05818740399385561
20,0,0.3656856657501378,0.3627149877149877,-35.14813379875399,-39.699785107546745,0.43330308529945555,0.07254299754299799
20,1,0.16916805275675886,0.31827956989247314,-167.02253577559998,-218.276371775799,0.31318167653474605,0.06365591397849463
21,0,0.35934820337565254,0.355958230958231,17.499992550658042,23.994390774993484,0.5276979893311449,0.8711916261035039
21,1,0.18001711402616377,0.328110599078341,-170.86372043239177,-223.3968603074842,0.30905145691258523,0.0656221198156682
22,0,0.3534682317961446,0.3501228501228501,2.3822514022987655,2.834886347769479,0.5027472527472527,0.8023956363490057
22,1,0.18104394259550097,0.3244239631336406,-168.6879892983818,-219.67048502011738,0.30916509730069053,0.06488479262672812
23,0,0.3598932950543005,0.35657248157248156,5.588972326031662,6.807114792088057,0.5148259561667383,0.8683345433829718
23,1,0.18104394259550097,0.3244239631336406,-168.6879892983818,-219.67048502011738,0.30916509730069053,0.06488479262672812
24,0,0.364096702591824,0.36117936117936117,-8.171875817693582,-9.563428551513715,0.4761215629522431,0.07246179851358038
24,1,0.18104394259550097,0.3244239631336406,-168.6879892983818,-219.67048502011738,0.30916509730069053,0.06488479262672812
25,0,0.3323958726741229,0.33507371007371006,17.192431961679276,23.739881335154838,0.5284522003034902,0.8670147146927952
25,1,0.1709469559931459,0.3238095238095238,-179.7903536784575,-230.07185561510227,0.2989335006273526,0.06476190476190477
26,0,0.3335686742601628,0.33845208845208846,-18.844957242639893,-22.726661991175,0.4768237082066869,0.06769042292436138
26,1,0.18584885226045736,0.32749615975422425,-176.33625174683712,-224.48458823009204,0.30102367242482403,0.06549923195084485
27,0,0.2997780018431386,0.3237100737100737,10.401595584456212,15.0002301251914,0.5032567706547824,0.8647177083092366
27,1,0.33768241508078145,0.3717357910906298,-128.23382164754292,-133.15788627915956,0.2922841083290751,0.07434715821812597
28,0,0.3576364114172082,0.3568796068796069,-46.299223719904916,-54.97405354741948,0.4244482173174873,0.07137592137592139
28,1,0.32726765256856927,0.3781874039938556,-131.2935355993166,-144.80827327756595,0.30401529636711283,0.07563748079877113
29,0,0.36462902925342655,0.3608722358722359,-8.501941483671134,-9.845067630684639,0.4881999074502545,0.07233687316737167
