time,open,high,low,close,volume,hour_of_day,day_of_week,is_asian_session,is_london_session,is_ny_session,is_overlap_session,session_transition,news_release_proximity,spread_proxy,volume_regime,obv_slope,tick_volume_ratio,order_flow_imbalance,ema_20,ema_50,ema_200,ema20_h1,ema50_h1,ema200_h1,ema20_h4,ema50_h4,ema_alignment_h1,ema_alignment_h4,ema_slope_acceleration,trend_strength_index,momentum_regime,macd_divergence,rsi_divergence,returns_skew_rolling,returns_kurt_rolling,atr_14,vol_expansion_rate,var_breach,var_breach_frequency,extreme_move_frequency,garch_forecast,vix_regime,put_call_ratio,commitment_traders,sentiment_extremes,shannon_entropy_sign_w144,sign_change_rate_w144,price_range_entropy_w144,shannon_entropy_sign_w288,sign_change_rate_w288,price_range_entropy_w288,power_mean_p-1.0,power_mean_p1.0,power_mean_p2.0,renyi_entropy_q0.5,renyi_entropy_q2.0,fractal_dim_14,fractal_dim_30,fractal_dim_60,volatility_regime,mlfinpy_cusum_event,mlfinpy_z_score_event,sadf_log_tstat,sadf_log_crit,sadf_log_break,cusum_event,cusum_event_rate_w288,time_since_last_event_w288,cusum_event_rate_w1440,time_since_last_event_w1440,one_sided_dev_z_w288,one_sided_dev_z_w1440,max_drawup_w288,max_drawdown_w288,max_drawup_w1440,max_drawdown_w1440,label
2025-04-02 18:00:00+00:00,1.08515,1.0854,1.08503,1.0851,384.0,18,2,0,0,1,0,0,1.0,0.00036999999999998145,0,-45.2,1.0,0.0,1.085418077983506,1.0847065527600246,1.0819814241168797,1.0823068742217434,1.0812611970344566,1.0812154284033595,1.0812516196838144,1.081290955693718,1,-1,-4.062861321552091e-06,24.66720630226581,-1,0,0,0.33151601987460555,1.2192202076813703,0.00043485639704986804,-8.57748648749709e-06,0,0.045,0.02,0.0,0,0.0,0.0,0,1.1123964411333642,0.5069444444444444,2.447845035851823,1.1544495720880497,0.5555555555555556,2.116414587181475,0.0,0.00022687885036266588,0.0003040622987579015,1.9942699076903059,1.5598580836474363,0.7905466343710412,1.0,1.0,2,0,0,0.0,0.0,0.0,0,0.04513888888888889,21,0.05,21,1.4106444785762215,1.0519444651276109,0.006250231833524911,-0.0019407474177022266,0.010890526453079419,-0.0019407474177022266,0
2023-07-11 11:30:00+00:00,1.10004,1.10006,1.0998,1.09985,246.0,11,1,0,1,0,0,0,1.0,0.00025999999999992696,0,-203.3,1.0,0.0,1.1004110483676843,1.1006840370874091,1.1003672004981793,1.0999539677520123,1.0975656646204772,1.0925097375096484,1.0960642353504977,1.0928425709842389,1,1,-6.80224184241851e-06,19.022127109973145,-1,0,0,0.25810167308350196,3.905705734800246,0.00029287659527087883,-4.522809269701583e-06,0,0.05,0.02,0.0,0,0.0,0.0,0,1.0527955181875976,0.5138888888888888,2.0176991126875117,1.1367360577402663,0.5381944444444444,2.01397014442402,0.0,0.00014366636743761877,0.00019765147718176157,1.709616493378826,1.335888806335578,1.0924462487645172,1.0,0.980560119176309,2,0,0,0.0,0.0,0.0,0,0.04861111111111111,2,0.04583333333333333,2,-0.11552087386056856,0.8855562491088544,0.0048421725823397654,-0.00233123491954057,0.015183681004246052,-0.00233123491954057,0
2025-07-10 00:00:00+00:00,1.17375,1.17417,1.17354,1.17402,307.0,0,3,1,0,0,0,1,1.0,0.0006299999999999084,1,67.2,1.0,0.0,1.1727864152097205,1.1723075959284084,1.1716528238980202,1.1719641282134905,1.1723207390188792,1.1725302353130544,1.1730291968520492,1.1727882830662602,-1,1,1.2698779795417003e-05,38.04995022341303,1,0,0,0.37208799189247344,5.269456180888221,0.00027275475540953906,1.3735026869339458e-05,0,0.045,0.015,0.0,0,0.0,0.0,0,1.2467557002025407,0.5069444444444444,2.3452939871162894,1.1827886182598253,0.53125,2.2836616259339553,0.0,0.00014145118681052152,0.0002003990636388646,1.9589673744073717,1.4864387377116761,1.082462160191993,1.052046747769616,1.051399152506657,0,0,1,0.0,0.0,0.0,0,0.03819444444444445,1,0.03611111111111111,1,0.7636669047559107,-0.5033995362560221,0.004216955067616768,0.0,0.004500496252438424,-0.0059018281272491535,-1
2023-03-22 10:50:00+00:00,1.07833,1.07894,1.07821,1.07882,524.0,10,2,0,1,0,0,0,1.0,0.0007300000000001194,0,20.2,1.0,0.0,1.0784695580991466,1.077981954999391,1.077020052365714,1.0769395512804123,1.074424843883217,1.06845070440703,1.072955103584079,1.068854574117549,1,1,2.7569861964282793e-06,24.580920890081437,0,0,0,0.6297782331410458,1.4761621514266328,0.00046728087477290443,-8.686076885786953e-07,0,0.05,0.02,0.0,0,0.0,0.0,0,1.1540557753387568,0.6597222222222222,2.4566843767527726,1.181058021231646,0.6076388888888888,2.0710832442502234,0.0,0.0001462578746758394,0.00019693892228009392,2.0112613569888516,1.610209815212682,1.0,0.9371992129839148,1.0,3,1,0,0.0,0.0,0.0,0,0.03819444444444445,21,0.04027777777777778,21,-0.43020235179485683,0.8505649765817453,0.002760607891434619,-0.00016682113067656434,0.02527014055862309,-0.00016682113067656434,-1
2024-05-21 22:50:00+00:00,1.08569,1.08574,1.08567,1.08574,34.0,22,1,0,0,0,0,0,1.0,7.00000000000145e-05,-1,3.0,1.0,0.0,1.0855847668814465,1.0855139049421287,1.0857063954521573,1.0857636661775474,1.0860466214491418,1.0833215558177345,1.0859277834720689,1.083557047260584,0,1,5.280967394716285e-07,27.67287777889083,1,0,0,0.2826637306924552,3.6578890468844913,9.162576742466864e-05,-3.5270925971474932e-06,0,0.035,0.025,0.0,0,0.0,0.0,0,1.2309420721583293,0.5902777777777778,1.773871871631266,1.2644624487055436,0.5972222222222222,1.7345349479487533,0.0,0.00010235192521309725,0.00016114194557442123,1.6235222650084802,1.0271533246859648,1.0384741478144763,1.033947331923187,0.9230380181850304,0,0,0,0.0,0.0,0.0,0,0.041666666666666664,4,0.04027777777777778,4,0.33026164686384557,-0.7313324969009453,0.0009126526849503325,-0.0015082124004488495,0.004031885183746642,-0.0033230520672690167,-1
2025-07-06 22:00:00+00:00,1.17792,1.178,1.17757,1.17783,230.0,22,6,0,0,0,0,0,1.0,0.00042999999999993044,0,-35.2,1.0,0.0,1.177898798646372,1.177807001543174,1.1775683905217122,1.1778640380420027,1.1775562892857383,1.1725531388295352,1.1773183384498294,1.1731187074414278,1,1,-3.7099304958765343e-06,12.414383460091951,-1,0,0,1.635663132524552,6.961466735158295,0.0002772453190254572,-9.234440922315992e-06,0,0.05,0.01,0.0,0,0.0,0.0,0,1.1501854804581977,0.6111111111111112,2.2376424406176967,1.1402337513461722,0.5798611111111112,2.1380976006566317,0.0,0.00011369286953874359,0.00016897293054348028,1.8347910371504068,1.3137583911101078,1.0,1.0,0.9934571541331859,0,0,0,0.0,0.0,0.0,0,0.013888888888888888,64,0.034027777777777775,64,0.8210088721885868,-0.7340164916683397,0.002024756476243006,-0.0007211456883972067,0.00593570647717967,-0.0040250636315207755,-1
2024-09-24 14:10:00+00:00,1.11546,1.11592,1.11545,1.11552,920.0,14,1,0,1,1,1,0,1.0,0.00046999999999997044,1,340.6,1.0,0.0,1.1141052895791215,1.1136968307098247,1.1127379742468066,1.1128733284436183,1.1131920383899268,1.1119523591636187,1.1134226734141084,1.1121537256935117,0,1,1.3590681664732429e-05,25.19834175530778,1,0,0,0.6288354629262821,0.6682022784188686,0.0004906421819913676,1.1137926899018e-05,0,0.055,0.02,0.0,0,0.0,0.0,0,1.1697739228524577,0.5694444444444444,2.5844876176917353,1.1819234990884648,0.5729166666666666,2.38873531999281,0.0,0.00015002358406737847,0.0002041438704837075,2.060322792832266,1.6301958570116712,1.1294512514552384,1.0836890460903184,1.0923318807720988,3,0,0,0.0,0.0,0.0,0,0.04513888888888889,2,0.049305555555555554,2,1.5972615660421803,-0.355457421363994,0.004647141467632121,0.0,0.007669168857212583,-0.0028425851434700222,0
2024-09-30 19:10:00+00:00,1.11258,1.11258,1.11218,1.11225,317.0,19,0,0,0,1,0,0,1.0,0.00039999999999995595,-1,48.6,1.0,0.0,1.1134340935602174,1.1144100459942767,1.116175024168958,1.116068966969446,1.1163374321067787,1.1148212015041508,1.1159808573925263,1.114808666373104,0,1,8.253122668389068e-06,38.66215124458633,0,0,0,-0.5887838890070232,2.239927777561952,0.0006100353708983991,-1.1251960463845481e-05,0,0.08,0.035,0.0,0,0.0,0.0,0,1.0,0.5347222222222222,2.3744349407967755,1.1064353904337112,0.5416666666666666,1.9714443552835696,9.332503151793188e-05,0.0002580850564205346,0.00035704000830853364,1.9715517278039814,1.4950041005705992,0.9501514505494406,1.0,1.0,3,1,0,0.0,0.0,0.0,0,0.0625,6,0.05347222222222222,6,-0.8167197197782267,-0.12093304752710393,0.0006027456413393306,-0.00741593488969805,0.0017021506538419384,-0.008000214052550025,-1
2023-03-22 07:50:00+00:00,1.07647,1.07679,1.07632,1.07636,612.0,7,2,1,1,0,0,1,1.0,0.00046999999999997044,1,-58.6,1.0,0.0,1.0764710345062622,1.0766959729097278,1.0764851606030175,1.0763370905974483,1.0738878603809008,1.0681408788314732,1.0722430092245083,1.0684110873468369,1,1,5.4385776917076354e-06,19.740509142772733,1,0,0,-0.39753459743221975,0.43600499927321534,0.0003655939563447459,5.3766558475724665e-06,0,0.05,0.015,0.0,0,0.0,0.0,0,1.253398452388107,0.6736111111111112,2.464469598525485,1.177628641001251,0.5868055555555556,2.0884031478107214,0.0,0.00010517735022328122,0.00014103130263423068,2.0354351829567294,1.6420830697957174,1.0,1.0,1.0,2,0,0,0.0,0.0,0.0,0,0.041666666666666664,10,0.041666666666666664,10,-0.25292313552773854,0.04395777482672503,0.004170204032130087,-0.0018731801405811321,0.022932248652861142,-0.0018731801405811321,1
2023-05-03 04:25:00+00:00,1.10245,1.10245,1.10235,1.10236,129.0,4,2,1,0,0,0,0,1.0,9.999999999998899e-05,0,-49.9,1.0,0.0,1.102590846791387,1.1021779086128947,1.1004716463065893,1.100374304150478,1.0997761961753922,1.0998064147085485,1.1004747557001882,1.1000871934200553,0,1,-4.370090150995764e-06,27.61868578047197,-1,0,0,-0.2292882295531033,0.068886574553621,0.00017073064898656865,-2.1931820081273196e-06,0,0.015,0.01,0.0,0,0.0,0.0,0,1.2822536841646368,0.4861111111111111,2.836860333788238,1.2521822337030435,0.5069444444444444,1.6192286108446843,0.0,9.443041782156313e-05,0.00012023714881684664,2.180441337990187,1.9616585060234524,1.071553261024964,1.0,1.0,0,1,0,0.0,0.0,0.0,0,0.052083333333333336,28,0.04375,28,0.7048379942069941,0.17147024875287997,0.007328618162545375,-0.0005258672275917364,0.007328618162545375,-0.006327858804016651,0
2023-08-28 12:35:00+00:00,1.08039,1.08097,1.0803,1.08034,554.0,12,0,0,1,1,1,1,1.0,0.0006699999999999484,1,-8.9,1.0,0.0,1.0806767364580796,1.080818873950997,1.0806486509911948,1.0804552505578138,1.080859698816088,1.08553245275898,1.081345505339603,1.084866848771836,-1,-1,-7.490570805623875e-07,17.478780610604325,0,0,0,0.14236269087469922,0.09804190016941058,0.00038673389662031494,8.412816642735718e-06,0,0.055,0.01,0.0,0,0.0,0.0,0,1.1552011611469921,0.5763888888888888,2.6627077517089695,1.1827886182598255,0.5520833333333334,1.2415886690549152,0.0,0.00013382619832456096,0.00017752773397946436,2.0865076738754014,1.762672730926221,1.0,1.0,1.0,3,0,0,0.0,0.0,0.0,0,0.04513888888888889,25,0.04027777777777778,25,-0.165896924222722,-0.4171233296386812,0.003054639988858465,-0.00261270160731919,0.003101207056638966,-0.011519493471676912,1
2024-06-25 20:00:00+00:00,1.07159,1.07159,1.07134,1.07137,93.0,20,1,0,0,1,0,0,1.0,0.0002500000000000835,-1,17.9,1.0,0.0,1.0715315497974023,1.0712899880769744,1.0716807927618153,1.0716895142529,1.0717482694472587,1.0731342019180568,1.0714935791562636,1.0727260131818388,-1,-1,-2.4094996525558797e-06,18.017403968574843,-1,0,0,-0.3095594341357657,1.2814606429548487,0.00015393331518447374,-6.438921970316277e-08,0,0.095,0.03,0.0,0,0.0,0.0,0,1.0911376381372087,0.5138888888888888,2.557692039908667,1.2081793261547653,0.5486111111111112,2.2751301432159368,0.0,0.0001308805362365512,0.00017108263129657274,2.048366513554016,1.6921445948663083,1.090765463923375,1.0,0.9318284973583761,0,0,0,0.0,0.0,0.0,0,0.052083333333333336,7,0.041666666666666664,7,-1.3660453809672928,-0.02552573573807815,0.002085788577735226,-0.0028108973464012754,0.003597088606408949,-0.0036084631481051455,1
2025-05-29 04:00:00+00:00,1.12484,1.12484,1.1244,1.1245,233.0,4,3,1,0,0,0,0,1.0,0.00043999999999999595,0,-33.9,1.0,0.0,1.1248519096994616,1.1250944836763965,1.1277729999930002,1.1277545319924063,1.1307612744568711,1.1307307258519106,1.131092557072326,1.1305078780254434,0,1,-3.577771066409774e-06,11.919336457388921,0,0,0,-1.7488862846125022,13.451305833371784,0.0005067201142881779,-7.352734752468968e-06,0,0.06,0.025,0.0,0,0.0,0.0,0,1.0847765773363722,0.5972222222222222,1.5086343806520306,1.1043076538724803,0.5868055555555556,1.4160300966061792,0.0,0.00025790828521503095,0.00044721367101046775,1.5014768696046643,0.76036418274668,1.0,1.0,0.9670853775272727,3,1,0,0.0,0.0,0.0,0,0.052083333333333336,29,0.04583333333333333,29,-0.19735892238171115,-1.2721611962010781,0.0030953676529621443,-0.00835993580133687,0.0030953676529621443,-0.015065253569238712,0
2023-10-12 02:45:00+00:00,1.06228,1.06234,1.06224,1.06231,162.0,2,3,1,0,0,0,0,1.0,9.999999999998899e-05,0,-44.1,1.0,0.0,1.0623427038026965,1.0622364387205947,1.0615242577836634,1.061454741383417,1.060094095432127,1.0569172191025453,1.0591800348787477,1.057162763263392,1,1,-1.1943803694736132e-06,10.934402100405947,0,0,0,-0.3140821460600731,1.6596368642258708,0.0002066837722468643,-1.2529400848286911e-06,0,0.04,0.0,0.0,0,0.0,0.0,0,1.0485876715036642,0.5069444444444444,2.2958427347248938,1.1239815455494837,0.5243055555555556,1.8523138143125732,0.0,0.0001414119367089984,0.00019690374111052655,1.9268376919713406,1.4312723564029683,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,0.041666666666666664,32,0.0375,32,-0.09950387625757424,0.45043510662877106,0.003533068195773703,-0.0008089016808222604,0.012514535160792262,-0.0008089016808222604,1
2023-03-01 21:20:00+00:00,1.06669,1.06673,1.06665,1.06672,82.0,21,2,0,0,0,0,1,1.0,7.999999999985796e-05,-1,114.7,1.0,0.0,1.0661969204748791,1.066091964157252,1.064856646601779,1.0647800548439807,1.0623154595101154,1.062739511479963,1.0618196133930906,1.0626237149422642,0,-1,1.815287254647302e-06,28.394462019542168,1,0,0,-0.5743353041651516,2.4362904363006956,0.0002504792871286082,-7.849359820400826e-06,0,0.05,0.03,0.0,0,0.0,0.0,0,1.0271393952679801,0.5347222222222222,2.4336257684011837,1.1805013294981455,0.5069444444444444,2.15199872107128,0.0,0.00026661313802251975,0.0003721862935268943,2.0332529175464584,1.541667495659462,1.0166787411465554,1.0068863855852086,1.0,0,0,0,0.0,0.0,0.0,0,0.04861111111111111,4,0.04513888888888889,4,1.1308580306707683,1.223441884793326,0.00966389338482343,-0.0018340382527980426,0.012654382517396146,-0.0018340382527980426,1
2023-04-27 22:10:00+00:00,1.10263,1.10272,1.10256,1.10271,65.0,22,3,0,0,0,0,0,1.0,0.00015999999999993797,-1,-67.1,1.0,0.0,1.1026418451778532,1.102518517390545,1.1028207524202804,1.1028043484451897,1.1026787886556657,1.0998741896125053,1.1021339751966799,1.0999544003759258,1,1,4.36916018409228e-07,16.815902739410085,0,0,0,-0.19591847593176961,0.6571924013435426,0.00017740363707898573,1.94352588904802e-06,0,0.06,0.02,0.0,0,0.0,0.0,0,1.2124217871868785,0.5,1.5328840395942038,1.1320872716517747,0.5243055555555556,1.3762526111272515,0.0,0.00022126159779649709,0.00036620039054149087,1.4851705960818535,0.9062620976450211,1.0,1.0,0.8927903985636756,0,0,0,0.0,0.0,0.0,0,0.03125,44,0.043055555555555555,44,-0.42086351186749704,0.17615534902461125,0.0028374212206367933,-0.003055809201782833,0.007805002878894518,-0.0060123672682038665,1
